Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification,CDK_Age-standardised_rate_per_100000,smoking(rate),Diabetes(rate),tuberculosis_per_100000_populaiton,Obesity(rate),Developed
Afghanistan,Eastern Mediterranean,55680,143.03,123,0.32,16,2438,6.26,8,0.02,2,Clusters of cases,10913,NA,9.2,189,4.5,NO
Albania,Europe,103327,3590.49,7601,264.13,1021,1715,59.59,115,4,19,Clusters of cases,7259,29.4,9,16,22.3,NO
Algeria,Africa,112461,256.46,1214,2.77,182,2970,6.77,23,0.05,3,Community transmission,9813,NA,6.7,61,26.6,NO
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases,13217,NA,NA,NA,NA,YES
Andorra,Europe,10775,13945.51,192,248.5,36,110,142.37,3,3.88,0,Community transmission,5243,32.5,7.7,7.5,28,YES
Angola,Africa,20640,62.8,240,0.73,56,501,1.52,7,0.02,1,Community transmission,10592,NA,4.5,351,6.8,NO
Anguilla,Americas,18,119.98,0,0,0,0,0,0,0,0,Sporadic cases,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,Americas,636,649.45,150,153.17,22,14,14.3,4,4.08,0,Sporadic cases,9201,NA,13.1,0,19.1,NO
Argentina,Americas,2080824,4604.02,47764,105.68,3596,51524,114,1092,2.42,14,Community transmission,7547,23.95,5.9,29,28.5,YES
Armenia,Europe,171227,5778.37,1407,47.48,,3179,107.28,23,0.78,4,Community transmission,11302,26.9,6.1,26,20.9,NO
Aruba,Americas,7735,7244.82,274,256.64,43,71,66.5,2,1.87,0,Community transmission,NA,NA,NA,NA,NA,YES
Australia,Western Pacific,28939,113.49,28,0.11,2,909,3.56,0,0,0,Sporadic cases,6982,14.9,5.6,6.9,30.4,YES
Austria,Europe,446721,4960.04,12604,139.94,2190,8333,92.52,149,1.65,16,Community transmission,5557,35.15,6.6,6.2,21.9,YES
